Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/06/28 13:34:00,195.2,195.8,196.5,28.146,28.983,29.464,5.516,5.672,5.755,-0.185,-0.175,-0.169,5.52,5.677,5.759,60.002,60.01,60.019
2023/06/28 13:35:00,195.2,195.8,196.5,28.181,28.983,29.509,5.526,5.673,5.769,-0.185,-0.175,-0.169,5.53,5.677,5.775,59.996,60.008,60.025
2023/06/28 13:36:00,195.2,195.8,196.6,28.032,28.983,29.956,5.5,5.672,5.852,-0.186,-0.176,-0.165,5.505,5.677,5.855,60.011,60.018,60.025
2023/06/28 13:37:00,195.3,195.8,196.5,28.192,28.983,29.452,5.537,5.673,5.765,-0.183,-0.175,-0.168,5.544,5.677,5.769,59.999,60.01,60.026
2023/06/28 13:38:00,195.1,195.7,196.5,28.204,28.994,29.429,5.525,5.673,5.754,-0.185,-0.175,-0.169,5.53,5.677,5.759,59.992,60.002,60.013
2023/06/28 13:39:00,195.2,195.9,196.5,28.1,28.983,29.555,5.505,5.674,5.775,-0.184,-0.175,-0.169,5.509,5.678,5.778,59.994,60.009,60.021
2023/06/28 13:40:00,195.2,195.8,196.4,28.135,28.994,29.601,5.514,5.674,5.781,-0.185,-0.175,-0.168,5.52,5.678,5.786,59.984,60.002,60.015
2023/06/28 13:41:00,195.0,195.6,196.3,28.078,29.017,29.67,5.49,5.673,5.797,-0.185,-0.174,-0.167,5.496,5.677,5.801,59.995,60.007,60.014
2023/06/28 13:42:00,195.0,195.5,196.1,28.112,29.017,29.555,5.499,5.67,5.758,-0.184,-0.174,-0.168,5.504,5.674,5.763,59.992,60.007,60.017
2023/06/28 13:43:00,195.1,195.6,196.2,27.952,29.017,29.544,5.485,5.672,5.765,-0.185,-0.174,-0.167,5.49,5.677,5.769,60.007,60.018,60.026
2023/06/28 13:44:00,194.6,195.4,196.1,28.112,29.017,29.613,5.494,5.666,5.763,-0.184,-0.173,-0.167,5.499,5.67,5.766,59.987,59.994,60.016
2023/06/28 13:45:00,195.0,195.6,196.3,27.997,29.017,29.544,5.485,5.673,5.771,-0.185,-0.174,-0.167,5.489,5.678,5.776,59.988,60.011,60.033
2023/06/28 13:46:00,194.9,195.5,196.3,28.089,29.017,29.555,5.495,5.67,5.765,-0.184,-0.174,-0.166,5.5,5.674,5.769,60.001,60.013,60.029
2023/06/28 13:47:00,194.8,195.4,196.2,28.112,28.983,29.578,5.499,5.663,5.773,-0.184,-0.174,-0.167,5.503,5.667,5.777,59.999,60.008,60.017
2023/06/28 13:48:00,194.8,195.4,196.1,28.032,29.017,29.578,5.478,5.668,5.769,-0.184,-0.173,-0.166,5.484,5.672,5.773,59.981,60.0,60.011
2023/06/28 13:49:00,194.7,195.4,196.1,28.123,29.005,29.658,5.503,5.665,5.777,-0.185,-0.174,-0.165,5.508,5.67,5.781,59.979,59.989,60.006
2023/06/28 13:50:00,194.7,195.3,196.1,28.112,28.994,29.647,5.503,5.662,5.775,-0.184,-0.174,-0.166,5.507,5.666,5.778,59.969,59.988,60.002
2023/06/28 13:51:00,194.9,195.4,196.0,28.089,29.005,29.635,5.496,5.664,5.781,-0.185,-0.174,-0.166,5.501,5.668,5.785,59.979,59.983,59.991
2023/06/28 13:52:00,194.8,195.4,196.0,28.169,28.983,29.658,5.508,5.659,5.78,-0.184,-0.174,-0.165,5.513,5.663,5.783,59.974,59.985,59.997
2023/06/28 13:53:00,194.7,195.3,195.9,28.135,28.983,29.681,5.502,5.657,5.778,-0.184,-0.174,-0.165,5.506,5.661,5.783,59.971,59.979,59.987
2023/06/28 13:54:00,194.4,195.2,195.9,28.02,28.971,29.681,5.479,5.653,5.784,-0.185,-0.173,-0.164,5.483,5.657,5.789,59.967,59.977,59.984
2023/06/28 13:55:00,194.4,195.3,196.1,28.135,28.971,29.739,5.496,5.656,5.781,-0.183,-0.074,-0.165,5.501,5.66,5.785,59.965,59.974,59.983
2023/06/28 13:56:00,194.6,195.3,196.0,28.169,28.971,29.727,5.507,5.655,5.781,-0.183,-0.173,-0.164,5.511,5.659,5.785,59.968,59.977,59.987
2023/06/28 13:57:00,194.7,195.3,196.1,28.032,28.96,29.693,5.487,5.655,5.784,-0.183,-0.174,-0.163,5.491,5.66,5.789,59.964,59.97,59.98
2023/06/28 13:58:00,194.7,195.3,196.1,27.986,28.948,29.67,5.481,5.653,5.786,-0.184,-0.174,-0.164,5.487,5.657,5.789,59.96,59.968,59.976
2023/06/28 13:59:00,194.6,195.4,196.0,28.135,28.96,29.693,5.507,5.655,5.781,-0.183,-0.174,-0.164,5.512,5.66,5.785,59.952,59.963,59.978
2023/06/28 14:00:00,194.8,195.3,196.0,28.123,28.971,29.704,5.502,5.658,5.787,-0.184,-0.174,-0.165,5.505,5.662,5.792,59.956,59.976,59.99
2023/06/28 14:01:00,194.8,195.4,196.1,28.078,28.948,29.67,5.493,5.655,5.784,-0.186,-0.174,-0.165,5.498,5.659,5.789,59.958,59.969,59.981
2023/06/28 14:02:00,194.5,195.3,195.9,28.123,28.948,29.83,5.495,5.65,5.801,-0.184,-0.174,-0.164,5.499,5.654,5.806,59.957,59.966,59.976
2023/06/28 14:03:00,194.8,195.4,196.1,28.146,28.948,29.796,5.508,5.655,5.797,-0.184,-0.174,-0.165,5.514,5.659,5.799,59.969,59.98,59.993
2023/06/28 14:04:00,194.7,195.3,196.1,28.158,28.96,29.681,5.503,5.654,5.786,-0.185,-0.174,-0.165,5.508,5.659,5.789,59.969,59.983,59.998
2023/06/28 14:05:00,194.8,195.4,196.1,28.192,28.937,29.739,5.513,5.651,5.796,-0.184,-0.174,-0.164,5.517,5.655,5.801,59.977,59.991,59.999
2023/06/28 14:06:00,194.9,195.4,196.0,28.146,28.937,29.75,5.511,5.654,5.8,-0.185,-0.174,-0.165,5.517,5.658,5.803,59.979,59.991,60.006
2023/06/28 14:07:00,194.7,195.5,196.1,28.169,28.948,29.773,5.517,5.656,5.798,-0.184,-0.174,-0.164,5.521,5.661,5.803,59.983,59.993,60.0
2023/06/28 14:08:00,194.8,195.4,196.1,28.009,28.948,29.693,5.481,5.654,5.794,-0.185,-0.174,-0.164,5.486,5.658,5.797,59.973,59.983,59.992
2023/06/28 14:09:00,194.8,195.4,196.1,28.009,28.948,29.773,5.481,5.654,5.808,-0.185,-0.174,-0.164,5.484,5.659,5.813,59.968,59.98,60.004
2023/06/28 14:10:00,194.6,195.3,195.9,28.181,28.948,29.853,5.509,5.65,5.812,-0.183,-0.174,-0.164,5.515,5.655,5.816,59.976,59.989,60.0
2023/06/28 14:11:00,194.7,195.9,199.5,18.466,27.516,29.796,3.672,5.384,5.806,-0.303,-0.186,-0.165,3.68,5.389,5.81,59.978,59.989,60.003
2023/06/28 14:12:00,194.8,195.6,199.5,18.673,28.834,30.311,3.716,5.635,5.906,-0.32,-0.114,-0.092,3.725,5.638,5.908,59.976,59.984,59.997
2023/06/28 14:13:00,194.6,196.1,201.2,13.311,27.127,30.449,2.665,5.312,5.916,-0.361,-0.133,-0.092,2.677,5.316,5.92,59.971,59.981,59.989
2023/06/28 14:14:00,194.7,196.5,204.6,4.216,26.222,31.079,0.794,5.14,6.052,-0.376,-0.144,-0.095,0.866,5.146,6.055,59.963,59.99,60.017
